"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Layer_Source","store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Point_Source","Location"
"Census Tract","04013216822","AZ","04013216822","=""04013216822""","163974","2020-2024","2022","Census","CVS Pharmacy 7839","32331 N Scottsdale Rd","","Scottsdale","AZ","85262","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013030402","AZ","04013030402","=""04013030402""","106801","2020-2024","2022","Census","Circle K 2705281","6802 E Cave Creek Rd","","Cave Creek","AZ","85331","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013030402","AZ","04013030402","=""04013030402""","106801","2020-2024","2022","Census","Circle K 2705598","6210 E Cave Creek Rd","","Cave Creek","AZ","85331","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216842","AZ","04013216842","=""04013216842""","161089","2020-2024","2022","Census","Circle K 2705915","20721 N Scottsdale Rd","","Scottsdale","AZ","85255","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216822","AZ","04013216822","=""04013216822""","163974","2020-2024","2022","Census","AJ's Fine Foods 90","31311 N Scottsdale Rd","","Scottsdale","AZ","85266","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013216844","AZ","04013216844","=""04013216844""","102682","2020-2024","2022","Census","Fry's 673","20427 N Hayden Rd","","Scottsdale","AZ","85255","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013616400","AZ","04013616400","=""04013616400""","69449","2020-2024","2022","Census","Target Store T-1141","2727 W Agua Fria Fwy","","Phoenix","AZ","85027","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615202","AZ","04013615202","=""04013615202""","110361","2020-2024","2022","Census","Target Store T-1360","21001 N Tatum Blvd","Ste 20","Phoenix","AZ","85050","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013612800","AZ","04013612800","=""04013612800""","120000","2020-2024","2022","Census","Walgreens 03912","29660 N Tatum Blvd","","Cave Creek","AZ","85331","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013615002","AZ","04013615002","=""04013615002""","121897","2020-2024","2022","Census","Walgreens 09261","4710 E Rose Garden Ln","","Phoenix","AZ","85050","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
