"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_obesity","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013422637","AZ","04013422637","=""04013422637""","28.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422638","AZ","04013422638","=""04013422638""","28.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422640","AZ","04013422640","=""04013422640""","27.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422642","AZ","04013422642","=""04013422642""","29.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422643","AZ","04013422643","=""04013422643""","28.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422647","AZ","04013422647","=""04013422647""","27.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422648","AZ","04013422648","=""04013422648""","27.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422649","AZ","04013422649","=""04013422649""","28.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422650","AZ","04013422650","=""04013422650""","28.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422651","AZ","04013422651","=""04013422651""","29.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422652","AZ","04013422652","=""04013422652""","25.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422654","AZ","04013422654","=""04013422654""","28.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422655","AZ","04013422655","=""04013422655""","29.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422659","AZ","04013422659","=""04013422659""","27.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013422660","AZ","04013422660","=""04013422660""","30.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013522801","AZ","04013522801","=""04013522801""","N/A","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013522802","AZ","04013522802","=""04013522802""","30.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013817600","AZ","04013817600","=""04013817600""","27.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
