"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"DOLLAR GENERAL 14375","6600 W Van Buren St","","Phoenix","AZ","85043","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"DOLLAR GENERAL 14509","330 E Brown Rd","","Mesa","AZ","85201","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"DOLLAR GENERAL 18390","21818 W Harding St","","Wittmann","AZ","85361","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Hookah Cash N Carry","1926 W Cactus Rd","","Phoenix","AZ","85029","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Hungry Howie's # 1838","3515 W Union Hills Dr","Suite 115","Glendale","AZ","85308","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Hungry Howie's #1814","1909 E Ray Road","Suite 6","Chandler","AZ","85225","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Hungry Howie's #1830","7448 W Glendale Ave","Ste 106","Glendale","AZ","85303","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Hungry Howie's #1850","323 E Brown Rd","","Mesa","AZ","85201","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Hungry Howies 1851","2535 N. Central Ave.","","Phoenix","AZ","85004","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Hungry Howies 1852","7227 S Central Ave","Suite 1025","Phoenix","AZ","85042","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"I-mart","1250 N Alma School Rd","Ste 28","Chandler","AZ","85224","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"ISLAND MANAGEMENT LLC SUBWAY","2817 N Central Ave","","Phoenix","AZ","85004","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Imperial Kosher Market","737 E Glendale Ave","Ste A","Phoenix","AZ","85020","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"In & Out Convenience","6024 N 23rd Ave","","Phoenix","AZ","85015","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"India Spices","2640 W Baseline Rd","Ste 101","Phoenix","AZ","85041","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Inyambo New African Market","5270 N 59th Ave","Ste 1","Glendale","AZ","85301","MARICOPA","Grocery Store","","","USDA","Maricopa (County, 2022)"
"Irc New Roots Farm","1616 W Camelback Rd","","Phoenix","AZ","85015","MARICOPA","Farmers and Markets","","","USDA","Maricopa (County, 2022)"
"Isaac Convenience Store","3140 W Indian School Rd","","Phoenix","AZ","85017","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"JACK IN THE BOX  #1610","9113 E Guadalupe Rd","","Mesa","AZ","85212","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"JACK IN THE BOX #1617","4338 S Signal Butte Rd","","Mesa","AZ","85212","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"JACK IN THE BOX 1195 RUCKER RESTAURANT HOLDINGS LL","2090 NORTH ARIZONA AVENUE","","CHANDLER","AZ","85225","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"JC Quik Stop","1702 S 7th Ave","","Phoenix","AZ","85007","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"JJ Water & Ice N/A","5817 S Central Ave","","Phoenix","AZ","85040","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"JMA Petro Inc.","3501 W Camelback Rd","","Phoenix","AZ","85019","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"JOHN'S RANCHO MARKET","4447 S 15th Ave","","Phoenix","AZ","85041","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"JZ Market LLC","2633 W Baseline Rd","","Mesa","AZ","85202","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Jack  in The Box #1519","1403 S Crismon Rd","","Mesa","AZ","85208","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack  in The Box #1535","2711 S. 40th Street","","Phoenix","AZ","85034","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box #1105","4741 E McDowell Rd","","Phoenix","AZ","85008","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box #1110","2440 W Thomas Rd","","Phoenix","AZ","85015","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box #1147","4020 E Bell Rd","","Phoenix","AZ","85032","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box #1632","19395 W Indian School Rd","","Litchfield Park","AZ","85340","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box 1526","955 E Riggs Rd","","Chandler","AZ","85249","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box 1574","21292 E Ocotillo Rd","","Queen Creek","AZ","85142","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack In The Box 1593","9147 E Broadway Rd","","Mesa","AZ","85208","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack in The Box #0105","3545 E Thomas Rd","","Phoenix","AZ","85018","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack in The Box #0116","4119 N 7th St","","Phoenix","AZ","85012","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack in The Box #0118","721 S Mill Ave","","Tempe","AZ","85281","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack in The Box #101","1833 W Van Buren St","","Phoenix","AZ","85007","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Jack in The Box #108","3455 W McDowell Rd","","Phoenix","AZ","85003","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
